blocking/getty-karate-video-id635808620_4.mp4,blocking,3,0
pouring/getty-milk-pours-on-cereal-in-slow-motion-video-id677075411_2.mp4,pouring,3,0
blowing/yt-NUKJUVJiswU_19.mp4,blowing,3,1
squatting/getty-man-playing-with-basketball-in-studio-video-id1349-115_1.mp4,squatting,3,0
flying/yt-YUjLbMwwJeg_1.mp4,flying,3,1
sewing/getty-interior-shots-of-a-woman-with-pink-painted-fingernails-operating-a-video-id453988114_12.mp4,sewing,3,1
diving/yt-Max5kYoP7mE_51.mp4,diving,4,0
swinging/getty-carefree-girl-swinging-on-tree-swing-video-id478466930_23.mp4,swinging,4,2
smiling/getty-french-director-rene-clair-shakes-hands-with-man-talks-to-french-video-id538089564_15.mp4,smiling,3,0
closing/getty-eye-video-id502911607_2.mp4,closing,4,0
assembling/yt-Z0f_0Uv1biQ_279.mp4,assembling,4,0
camping/flickr-4-3-7-3-9-8-2-5-13043739825_4.mp4,camping,3,1
bathing/giphy-1JPXSloYnik3m_4.mp4,bathing,3,1
racing/flickr-9-5-2-2-4-5-5-6-8995224556_18.mp4,racing,3,0
grinning/getty-doctor-consulting-patient-in-exam-room-video-id151320381_14.mp4,grinning,3,1
hammering/getty-blacksmith-at-work-with-hammer-video-id130674094_21.mp4,hammering,3,1
clinging/getty-sparrows-on-pine-tree-video-id583743922_8.mp4,clinging,5,0
biting/yt-jSI7Vz7yJCw_2.mp4,biting,3,1
adult+male+singing/yt-2NWbSuCrF8o_544.mp4,adult+male+singing,4,0
chewing/yt-Ue5I4aTZV_U_195.mp4,chewing,3,0
washing/giphy-BGMyQkJVDCa1W_11.mp4,washing,3,0
punting/yt-NBlFLVD9AnE_5.mp4,punting,3,0
running/flickr-5-8-2-5-1-7-9-3-3058251793_3.mp4,running,3,1
kicking/yt-DBt8sfmLoOU_2.mp4,kicking,3,0
rolling/vine-My-dog-rolling-around-in-the-sun-D-x-dog-cute-funny-MXA0i33dViU_2.mp4,rolling,3,1
catching/giphy-GlH9AeZ2pmnEk_0.mp4,catching,3,0
drumming/yt-H0YjpR__L98_15.mp4,drumming,3,0
bowing/giphy-ZXvz23IAZZbAQ_0.mp4,bowing,3,1
eating/getty-asia-girls-eating-video-id482673157_9.mp4,eating,3,0
burning/getty-shot-of-camper-making-food-by-campfire-video-id146260104_1.mp4,burning,3,1
sailing/vb-beautiful-yacht-in-calm-weather-sailing-on-the-ocean-btmdlvjviozz1l4s_10.mp4,sailing,4,0
crashing/giphy-13q9iiRJ0HstNu_0.mp4,crashing,3,1
adult+male+singing/yt-1oSOCT6HBRM_333.mp4,adult+male+singing,4,0
celebrating/giphy-R10MgkSmbEUZG_0.mp4,celebrating,3,0
smashing/giphy-YnqNLvV2K6RNu_8.mp4,smashing,3,1
performing/k5oLCKafcXQ_9.mp4,performing,4,0
peeling/flickr-7-0-8-7-7-8-9-9-6370877899_33.mp4,peeling,3,0
shopping/getty-shot-of-young-female-browsing-and-picking-up-vinyl-record-nakagusuku-video-id181841824_3.mp4,shopping,3,0
adult+male+singing/yt-2gM1wWqHh1U_218.mp4,adult+male+singing,4,0
tickling/yt-Cdznov-urkU_12.mp4,tickling,3,0
protesting/yt-6EjxwOq0Rpc_96.mp4,protesting,3,1
spinning/9-6-5-8-2-5-2-8-4496582528_4.mp4,spinning,3,1
